V1	V(N001,Vd)*Id(M1)+V(Vg,Vd)*Ig(M1)
Step Information: Rap=1  (Step: 1/11)
5.000000000000000e-01	1.484082e-09
6.000000000000005e-01	1.484320e-09
7.000000000000002e-01	1.486077e-09
8.000000000000007e-01	1.499061e-09
9.000000000000004e-01	1.595001e-09
1.000000000000000e+00	2.303906e-09
1.100000000000001e+00	7.542023e-09
1.200000000000000e+00	4.624631e-08
1.300000000000001e+00	3.322254e-07
1.400000000000000e+00	2.445160e-06
1.500000000000000e+00	1.805411e-05
1.600000000000001e+00	1.333165e-04
1.700000000000000e+00	9.835319e-04
1.800000000000001e+00	7.236491e-03
1.900000000000000e+00	5.285619e-02
2.000000000000000e+00	3.785069e-01
2.100000000000001e+00	2.570422e+00
2.200000000000000e+00	1.521541e+01
2.300000000000001e+00	6.579380e+01
2.400000000000000e+00	1.661468e+02
2.500000000000000e+00	2.249887e+02
2.600000000000001e+00	1.693545e+02
2.700000000000000e+00	4.560436e+01
2.800000000000001e+00	8.421728e+00
2.900000000000000e+00	6.693806e+00
3.000000000000000e+00	5.749272e+00
3.100000000000000e+00	5.125690e+00
3.200000000000001e+00	4.674257e+00
3.300000000000001e+00	4.332264e+00
3.400000000000000e+00	4.061263e+00
3.500000000000000e+00	3.840758e+00
3.600000000000000e+00	3.657594e+00
3.700000000000001e+00	3.502672e+00
3.800000000000001e+00	3.369979e+00
3.900000000000000e+00	3.254916e+00
4.000000000000000e+00	3.154075e+00
4.100000000000000e+00	3.065030e+00
4.200000000000001e+00	2.985804e+00
4.300000000000001e+00	2.914750e+00
4.400000000000000e+00	2.850733e+00
4.500000000000000e+00	2.792736e+00
4.600000000000001e+00	2.739906e+00
4.700000000000001e+00	2.691620e+00
4.800000000000001e+00	2.647254e+00
4.900000000000000e+00	2.606410e+00
5.000000000000000e+00	2.568635e+00
5.100000000000001e+00	2.533644e+00
5.200000000000001e+00	2.501098e+00
5.300000000000001e+00	2.470768e+00
5.400000000000000e+00	2.442428e+00
5.500000000000000e+00	2.415851e+00
5.600000000000001e+00	2.390923e+00
5.700000000000001e+00	2.367473e+00
5.800000000000001e+00	2.345445e+00
5.900000000000000e+00	2.324554e+00
6.000000000000000e+00	2.304858e+00
6.100000000000001e+00	2.286243e+00
6.200000000000001e+00	2.268537e+00
6.300000000000001e+00	2.251742e+00
6.400000000000000e+00	2.235801e+00
6.500000000000000e+00	2.220599e+00
6.600000000000001e+00	2.206136e+00
6.700000000000001e+00	2.192300e+00
6.800000000000001e+00	2.179089e+00
6.900000000000000e+00	2.166505e+00
7.000000000000000e+00	2.154375e+00
7.100000000000001e+00	2.142815e+00
7.200000000000001e+00	2.131710e+00
7.300000000000001e+00	2.121061e+00
7.400000000000000e+00	2.110867e+00
7.500000000000000e+00	2.101014e+00
7.600000000000001e+00	2.091560e+00
7.700000000000001e+00	2.082447e+00
7.800000000000001e+00	2.073676e+00
7.900000000000000e+00	2.065189e+00
8.000000000000000e+00	2.057044e+00
8.100000000000001e+00	2.049184e+00
8.200000000000001e+00	2.041551e+00
8.300000000000001e+00	2.034204e+00
8.400000000000000e+00	2.027083e+00
8.500000000000000e+00	2.020191e+00
8.600000000000001e+00	2.013526e+00
8.700000000000001e+00	2.007089e+00
8.800000000000001e+00	2.000823e+00
8.900000000000000e+00	1.994728e+00
9.000000000000000e+00	1.988860e+00
9.100000000000001e+00	1.983163e+00
9.200000000000001e+00	1.977637e+00
9.300000000000001e+00	1.972225e+00
9.400000000000000e+00	1.966984e+00
9.500000000000000e+00	1.961914e+00
9.600000000000001e+00	1.956957e+00
9.700000000000001e+00	1.952172e+00
9.800000000000001e+00	1.947443e+00
9.900000000000000e+00	1.942885e+00
1.000000000000000e+01	1.938441e+00
1.010000000000000e+01	1.934111e+00
1.020000000000000e+01	1.929895e+00
1.030000000000000e+01	1.925793e+00
1.040000000000000e+01	1.921805e+00
1.050000000000000e+01	1.917874e+00
1.060000000000000e+01	1.914056e+00
1.070000000000000e+01	1.910353e+00
1.080000000000000e+01	1.906706e+00
1.090000000000000e+01	1.903173e+00
1.100000000000000e+01	1.899698e+00
1.110000000000000e+01	1.896279e+00
1.120000000000000e+01	1.892974e+00
1.130000000000000e+01	1.889726e+00
1.140000000000000e+01	1.886536e+00
1.150000000000000e+01	1.883459e+00
1.160000000000000e+01	1.880439e+00
1.170000000000000e+01	1.877476e+00
1.180000000000000e+01	1.874570e+00
1.190000000000000e+01	1.871721e+00
1.200000000000000e+01	1.868928e+00
1.210000000000000e+01	1.866193e+00
1.220000000000000e+01	1.863515e+00
1.230000000000000e+01	1.860894e+00
1.240000000000000e+01	1.858330e+00
1.250000000000000e+01	1.855765e+00
1.260000000000000e+01	1.853315e+00
1.270000000000000e+01	1.850922e+00
1.280000000000000e+01	1.848528e+00
1.290000000000000e+01	1.846192e+00
1.300000000000000e+01	1.843912e+00
1.310000000000000e+01	1.841633e+00
1.320000000000000e+01	1.839468e+00
